Codigo_PRTR,index,Nombre_del_complejo,Cantidad_total_atmosfera,Empresa_matriz,Municipio,Provincia,Longitud,Latitud,CNAE_2009,Actividad económica principal
6951,2426,ES500950000325-CERDOS-EJEA DE LOS CABALLEROS ,7.735,MARCELLAN RELANCIO ELIAS,Ejea de los Caballeros,Zaragoza,-1.255071,42.107722,Explotación de ganado porcino,
9673,2427,ES222260000008-TARDIENTA ,7.71,ANTONIO LISA OLIVA,Tardienta,Huesca,0.33805,41.5817,Explotación de ganado porcino,
9276,2428,ES441220000036-CERDOS-HÍJAR ,7.703,"LAZARO TURON, JOSÉ ANTONIO",Hijar,Teruel,-0.468619,41.194452,Explotación de ganado porcino,
8110,2429,JUAN FRANCISCO NIÑEROLA SABATER ,7.7,FRANCISCO NIÑEROLA SABATE,Rossell,Castellón,0.27439,40.622051,Explotación de ganado porcino,
2918,2430,ES502520000102-CERDOS-TAUSTE ,7.7,"HNOS. ESEVERRI AZCOITI, S.C.",Tauste,Zaragoza,-1.319354,41.992188,Explotación de ganado porcino,
2919,2431,ES502970000099-CERDOS-ZARAGOZA ,7.698,"HERMANOS FERNANDO, S.C.",Villamayor de Gállego,Zaragoza,-0.785788,41.692714,Explotación de ganado porcino,
9270,2432,ES501180000039-CERDOS-GALLUR ,7.67,"GRANJAS SIERRA ROYO, S.C.",Gallur,Zaragoza,-1.333409,41.850814,Explotación de ganado porcino,
6246,2433,ES220210000037-CERDOS-ALMUDÉVAR ,7.67,JAVIER GIMENEZ CACHO,Almudévar,Huesca,-0.636385,42.005954,Explotación de ganado porcino,
6915,2434,ES500950000240-CERDOS-EJEA DE LOS CABALLEROS ,7.655,AGUADO CIUDAD HERMANOS,Ejea de los Caballeros,Zaragoza,-1.308852,42.189203,Explotación de ganado porcino,
5805,2435,ES502520000159-TAUSTE ,7.65,"LOS LLANOS DE PABLO, SL",Tauste,Zaragoza,-1.25214,41.92132,Explotación de ganado porcino,
4497,2436,ES220230000027-ALMUNIENTE ,7.65,FLUMENPORC SL.,Almuniente,Huesca,-0.40925,41.95125,Explotación de ganado porcino,
